fdc_id,nutrient_id,amount
1105945,1093,217
1105945,1253,33
1105945,1008,500
1105945,2000,36.67
1105945,1003,6.67
1105945,1257,0
1105945,1005,70
1105945,1110,0
1105946,1089,0.08
1105946,1004,0
1105946,2000,0.83
1105946,1258,0
1105946,1257,0
1105946,1093,333
1105946,1003,0
1105946,1110,0
1105946,1079,0
1105946,1087,4
1105946,1008,4
1105946,1005,0.83
1105946,1092,8
1105946,1253,0
1105947,1110,0
1105947,1079,2.4
1105947,1004,24.39
1105947,1093,341
1105947,1092,24
1105947,1087,0
1105947,1005,31.71
1105947,1003,4.88
1105947,1089,1.71
1105947,2000,2.44
1105947,1008,366
1105947,1257,0
1105947,1258,12.2
1105947,1253,0
1105948,1089,2.98
1105948,1165,0
1105948,1008,246
1105948,1292,0
1105948,1093,544
1105948,1253,0
1105948,1186,105
1105948,1004,1.75
1105948,1005,49.12
1105948,1190,175
1105948,1258,0
1105948,1110,0
1105948,1293,0
1105948,1166,0.281
1105948,1257,0
1105948,1092,70
1105948,1003,8.77
1105948,2000,0
1105948,1079,1.8
1105948,1087,18
1105949,1093,596
1105949,1005,52.63
1105949,1258,0
1105949,1087,18
1105949,1190,202
1105949,1003,8.77
1105949,1293,0
1105949,1092,88
1105949,1110,0
1105949,1165,0
1105949,1089,3.16
1105949,1257,0
1105949,2000,3.51
1105949,1004,0.88
1105949,1292,0
1105949,1253,0
1105949,1079,0
1105949,1186,123
1105949,1008,246
1105949,1166,0.404
1105950,1079,4.3
1105950,1093,75
1105950,1087,33
1105950,1257,0
1105950,1008,95
1105950,1003,5.88
1105950,2000,0.58
1105950,1092,382
1105950,1089,1.39
1105950,1258,0.06
1105950,1004,0.34
1105950,1253,0
1105950,1005,17.17
1105951,1258,3.57
1105951,1186,143
1105951,1008,464
1105951,1092,179
1105951,1093,857
1105951,1079,3.6
1105951,1257,0
1105951,1292,8.93
1105951,2000,0
1105951,1110,0
1105951,1165,0
1105951,1253,36
1105951,1089,3.93
1105951,1004,16.07
1105951,1293,3.57
1105951,1003,10.71
1105951,1166,0.714
1105951,1005,67.86
1105951,1087,125
1105951,1190,250
1105952,1257,0
1105952,1258,11.9
1105952,1253,24
1105952,2000,33.33
1105952,1005,66.67
1105952,1008,524
1105952,1093,190
1105952,1110,0
1105952,1089,4.76
1105952,1004,28.57
1105952,1079,4.8
1105952,1003,4.76
1105952,1087,48
1105952,1092,190
1105953,1079,3.6
1105953,1092,316
1105953,2000,0.71
1105953,1093,377
1105953,1005,15.08
1105953,1004,0.42
1105953,1008,83
1105953,1089,1.5
1105953,1257,0
1105953,1253,0
1105953,1258,0.06
1105953,1003,4.78
1105953,1087,33
1105954,1079,0.3
1105954,1003,0.34
1105954,1110,0
1105954,1258,0
1105954,1005,12.2
1105954,1089,0
1105954,1093,8
1105954,1092,136
1105954,1162,20.3
1105954,1008,51
1105954,1253,0
1105954,1087,14
1105954,1004,0
1105954,2000,9.49
1105955,1089,0
1105955,1005,10.36
1105955,1093,10
1105955,1003,0
1105955,1079,0
1105955,1110,0
1105955,1087,0
1105955,2000,9.73
1105955,1092,0
1105955,1253,0
1105955,1004,0
1105955,1162,12.7
1105955,1258,0
1105955,1008,42
1105956,1089,0
1105956,1004,0
1105956,2000,14.12
1105956,1110,0
1105956,1258,0
1105956,1162,5.3
1105956,1079,0
1105956,1253,0
1105956,1005,15
1105956,1008,62
1105956,1003,0
1105956,1087,0
1105956,1093,3
1105956,1092,0
1105957,2000,9.26
1105957,1093,9
1105957,1087,0
1105957,1253,0
1105957,1005,12.35
1105957,1079,0
1105957,1092,136
1105957,1003,0
1105957,1004,0
1105957,1110,0
1105957,1008,49
1105957,1258,0
1105957,1162,37
1105957,1089,0
1105958,1004,0
1105958,1005,14.81
1105958,1162,9.3
1105958,1110,0
1105958,1087,0
1105958,1079,0
1105958,2000,13.58
1105958,1258,0
1105958,1089,0
1105958,1003,0
1105958,1092,0
1105958,1008,62
1105958,1093,3
1105958,1253,0
1105959,1093,10
1105959,2000,9.71
1105959,1087,0
1105959,1003,0
1105959,1079,0
1105959,1110,0
1105959,1005,10.29
1105959,1008,41
1105959,1089,0
1105959,1258,0
1105959,1253,0
1105959,1092,0
1105959,1004,0
1105959,1162,17.6
